"taxonID"|"Name"
41961|"Chat des Marais"
41959|"Chat des Sables"
41534|"Orque pygmée"
41534|"Orque naine"
45964|"Funiscure à dos rayé"
45960|"Funisciure à tête orange"
45959|"Funisciure De Kitampo"
43563|"Galago Du Congo"
43565|"Galago du Sénégal"
47041|"Desman des Pyrénées"
42253|"Gazelle De L'Inde"
42254|"Gazelle Du Yemen"
42261|"Gazelle De Cuvier"
42266|"Gazelle Dorcas"
74352|"Gazelle de montagne"
74352|"Gazelle Edmi"
42259|"Gazelle leptocère"
42259|"Gazelle leptocére"
42262|"Gazelle Saoudite"
74383|"Loir Gris"
41532|"Globicéphale tropical"
41529|"Globic"
43580|"Gorille de l’Ouest"
42622|"Petit Opossum-souris De Bolivie"
42626|"Petit Opossum-souris Agile"
42621|"Petit Opossum-souris De Bois"
42627|"Opossum-souris nain d'Emilie"
42625|"Petit Opossum-souris Du Nord"
42617|"Petit Opossum-souris Du Br"
41541|"Dauphin De Risso"
41541|"Grampus"
41852|"Glouton"
43621|"Hapalémur doré"
43620|"Hapalémur gris"
43620|"Petit hapalémur"
41655|"Ours des Cocotiers"
41655|"Ours Malais"
41900|"Mangouste Ichneumon"
43088|"Daman de Steppe"
42181|"Cerf des Andes septentrionales"
42181|"Taruca"
42180|"cerf du sud andin"
42180|"Huemul"
42332|"Antilope Chevaline"
42332|"Antilope Rouane"
42332|"Hippotrague rouan"
74439|"Gibbon Hoolock Occidental"
74439|"Hoolock"
42105|"Chevrotain Aquatique"
43588|"Gibbon Agile"
43589|"Siamang De Kloss"
43592|"Gibbon Cendré"
42120|"Hylochère"
41420|"Hyperoodon Austral"
44171|"Porc-épic à crête"
44171|"Porc-épic commun"
43731|"Anamolure nain"
41418|"Baleine A Bec De Longman"
43600|"Indri"
41472|"Dauphin De L'Amazone"
41472|"Inia"
42329|"Cobe Lechwe"
42329|"Lechwe"
41464|"Cachalot pygmée"
41465|"Cachalot Nain"
41523|"Dauphin De Fraser"
42951|"Wallaby-lièvre roux"
42975|"Wallaby-lièvre rayé"
45083|"Lemming Des Toundras"
43617|"Maki Catta"
43396|"Singe-lion"
43396|"Tamarin Soyeux"
74481|"Chat de Geoffroy"
74482|"Guigna"
74483|"Chat Des Andes"
41987|"Chat-tachet"
41987|"Oncille"
43639|"Grand lépilémur"
43637|"Petit lépilémur"
45507|"Rat Architecte"
57560|"Lievre Du Cap"
43135|"Lievre Ethiopien"
43137|"Lievre Des Haut Plateaux D'Ethiopie"
43137|"Lievre D' Ethiopie"
42685|"Opossum De Patagonie"
41468|"Baiji"
41468|"Dauphin Fluviatile De Chine"
41537|"Dauphin du Nord"
41536|"Dauphin aptère austral"
41777|"Loutre du Canada"
41776|"Loutre De Mer"
41779|"Loutre Du Chili"
43632|"Loris Gr"
41850|"Loutre d'Europe"
41849|"Loutre de Sumatra"
41856|"Loutre d'Asie"
42093|"Loup-peint"
42093|"Lycaon"
41979|"Lynx"
41979|"Lynx Boréal"
41975|"Lynx d'Espagne"
41975|"Lynx Pardelle"
41976|"Chat Sauvage"
43454|"Macaque d'Assam"
43450|"Macaque De Formose"
43459|"Macaque Crabier"
43459|"Macaque De Buffon"
43458|"Macaque Japonais"
43449|"Macaque Maure"
43457|"Macaque des Célèbes"
43448|"Macaque Bonnet Chinois"
43448|"Macaque Commun"
43446|"Macaque Ouandérou"
43446|"Ouand"
43456|"macaque couronné"
43456|"macaque à toque"
43451|"Macaque du Thibet"
43453|"Macaque De Tonkea"
43325|"Grand Bandicoot-lapin"
43325|"Grand P"
43326|"Bandicoot-lapin"
43326|"Bandicoot-lapin Mineur"
43326|"Petit Bandicoot-lapin"
43326|"Petit P"
43362|"Pangolin Indien"
43362|"Grand Pangolin de l'Inde"
43362|"Pangolin"
43364|"Pangolin Javanais"
43364|"Pangolin Malais"
43366|"Pangolin"
43366|"Pangolin De Chine"
42682|"Opossum-souris D"
42675|"Petit Opossum-souris Roux"
42678|"Opossum-souris Du Mexique"
42674|"Opossum-souris Commun"
42665|"Opossum-souris De Robinson"
42676|"Opossum-souris Roux"
42677|"Opossum-souris Des T"
42683|"Opossum X"
42633|"Opossum-souris Sombre"
42637|"Opossum-souris De Handley"
42638|"Opossum-souris Gris"
42639|"Opossum-souris Noir"
42645|"Opossum-souris Nocturne"
41800|"Fouine"
41797|"Martre de L'Inde du Sud"
74553|"Cariancou"
41651|"Ours Lippu de L'Inde"
41651|"Ours Prochile Lippu"
41879|"moufette à capuchon"
44918|"Hamster De Newton"
42591|"Opossum Brun"
42598|"Opossum-souris D"
42613|"Opossum-souris Bai"
42599|"Opossum-souris Laineux"
45316|"Rat Des Moissons"
42442|"Micropotamogale du Mont Nimba"
42443|"Micropotamogle du Mont Ruwenzori"
44282|"Campagnol Agreste"
44280|"Campagnol Des Champs"
44279|"Campagnol Souterrain De Bavarie"
44277|"Campagnol De Cabrera"
44281|"Campagnol De Felten"
74612|"Campagnol De Liechtenstein"
44302|"Campagnol Basque"
44273|"Campagnol De Fatio"
44264|"Campagnol De Savi"
44266|"Campagnol Souterrain"
44265|"Campagnol Des Tatras"
44296|"Campagnol De Thomas"
57534|"Minioptère de Schreibers"
41716|"Phoque moine de Méditerranée"
42575|"Opossum-musaraigne"
42569|"Petit Opossum-musaraigne"
42578|"Opossum-musaraigne Gris"
42576|"Opossum-musaraigne D"
42565|"Opossum-musaraigne D"
42564|"Opossum-musaraigne De Kuns"
42568|"Opossum-musaraigne D"
42563|"Opossum-musaraigne"
42107|"Tragule D'Inde"
42144|"Porte-musc de Sibérie"
42144|"Chevrotain Porte-musc"
42144|"Porte-musc"
42189|"Muntjac Noir"
74658|"Muntjac de Truong Son"
74660|"Muntjac géant"
74661|"Souris Marsupiale D"
40244|"Rat Marsupial"
74662|"Souris Marsupiale"
74663|"Souris Marsupiale"
74664|"Rat Marsupial Ray"
44693|"Souris de Macédoine"
44693|"SOURIS DE MAC"
44705|"Souris domestique"
44702|"Souris Des Steppes"
45856|"Muscardin"
41806|"Cataquil"
41805|"Vison d'Europe"
41809|"Putois à pieds noirs"
40246|"Rat Marsupial Noir"
45858|"Loir D'Ognev"
45086|"Lemming des forêts"
74692|"Murin d'Alcathoe"
74697|"Murin De Bechstein"
40317|"Petit Murin"
74699|"Murin de Brandt"
40284|"Murin de Capaccini"
40308|"Murin Des Marais"
40281|"Murin à oreilles échancrées"
40291|"Grand Murin"
40314|"Murin à moustaches"
74717|"Murin du Maghreb"
40262|"Fourmilier marsupial rayé"
47107|"Grand Fourmilier"
47107|"Tamanoir"
42315|"Goral"
42317|"Bouquetin du Népal"
74723|"Gazelle Dama"
43538|"Nasique"
41972|"Panthère Nébuleuse"
41972|"Panthère Longibande"
46859|"Crossope Aquatique"
74755|"Souris Marsupiale De Lorentz"
41450|"Marsouin Sans Nageoires"
43161|"Lapin De Sumatra"
40175|"Ningaui Wongai"
40174|"Ningaui Pilbara"
74774|"Ningaui Austral"
74778|"Gibbon Noir"
45118|"Souris Sauteuse"
45115|"Souris Sauteuse"
45114|"Souris Sauteuse"
45113|"Souris Sauteuse"
45112|"Souris Sauteuse"
45110|"Souris Sauteuse"
74785|"Roussette à queue"
43257|"Petite Taupe Marsupiale"
43256|"Grande Taupe Marsupiale"
40574|"Noctule des Açores"
40576|"Grande Noctule"
40573|"Noctule de Leisler"
40572|"Noctule Commune"
43627|"Loris Lent"
42959|"Wallaby bridé à queue cornée"
42958|"Onychogale Croissant"
42958|"Wallaby"
41519|"Orcelle"
41521|"Orque"
43236|"Ornithorynque"
42310|"Oryx Algazelle"
42310|"Oryx De Libye"
42309|"Oryx Blanc"
42309|"Oryx d'Arabie"
42029|"Chat Manul"
42095|"Otocyon"
40449|"Oreillard d'Hemprich"
42392|"Mouflon d'Asie"
42392|"Mouflon d'Eurasie"
42392|"Mouflon Vrai"
42171|"Cerf Des Pampas"
42171|"Goazu"
43578|"Bonobo"
41967|"Tigre"
74831|"Irbis"
74831|"Once"
42382|"Antilope du Tibet"
42382|"Tchirou"
43535|"Droguera"
43535|"Hamadryas"
40242|"Souris Marsupiale Mouchet"
46112|"Ecureuil De Fernando Po"
42033|"Chat Marbré"
43308|"Bandicoot De Bougainville"
43306|"Péramèle nason"
42123|"Phacochère du désert"
42837|"Couscous De Gebe"
42821|"Couscous De Montagne"
42824|"Couscous De Woodlark"
42832|"Couscous De Telefomin"
42825|"Couscous De La Sonde"
42825|"Couscous Gris"
42820|"Couscous Des Moluques"
42842|"Couscous De Rothschild"
42829|"Couscous Soyeux"
42828|"Couscous Noir"
40180|"Petit Phascogale"
74865|"Phascogale Pirate"
40179|"Grand Phascogale"
40240|"Souris Marsupiale"
40236|"Souris Marsupiale"
74866|"Petit Pangolin"
74866|"Pangolin Commun"
74866|"Tricuspide"
42582|"Opossum Noir"
42585|"Opossum Gris Quatre-yeux"
41444|"Marsouin à lunettes"
41444|"Marsouin de Lahille"
41443|"Marsouin du Golfe de Californie"
41439|"Marsouin De Burmeister"
41446|"Marsouin De Dall"
74890|"Cachalot"
40383|"Pipistrelle De Kuhl"
40376|"Pipistrelle De Madère"
40391|"Pipistrelle De Nathusius"
40364|"Pipistrelle Commune"
74908|"Pipistrelle pygmée"
40163|"Planigale De Giles"
40159|"Planigale D"
40156|"Planigale Commun"
40164|"Planigale De Nlle Guin"
40155|"Planigale"
41431|"Plataniste du Gange"
41431|"Sousou"
41431|"Plataniste de l'Indus"
40416|"Oreillard brun"
40416|"Oreillard roux"
40415|"Oreillard Gris"
74927|"Oreillard Montagnard"
74930|"Oreillard Sarde"
40418|"Oreillard De Tenerife"
41470|"Dauphin De La Plata"
74936|"Sanglier Nain"
74936|"Sanglier Pygm"
42139|"Potamochère roux"
42468|"Potamogale"
47085|"Tatou géant"
41948|"Chat-l"
41948|"Chat Rouge"
41948|"Chat Rubigineux"
41946|"Chat Pêcheur"
42371|"Gazelle de la Mongolie"
42372|"Gazelle Du Tibet"
43512|"Colobe De Van Beneden"
43512|"Colobe Vert"
43512|"Colobe Vrai"
74957|"Lapin Roux De Hewitt"
43603|"Propithèque de Verreaux"
46202|"Écureuil géant de Stanger"
45734|"Rat de sable diurne"
40228|"Souris Marsupiale"
40224|"Souris Marsupiale Des Termiti"
40229|"Souris Marsupiale Ningbing"
40226|"Souris Marsupiale De Woolley"
45210|"Fausse Souris Fuligineuse"
45196|"Fausse Souris De Shortridge"
74973|"Saola"
46146|"Polatouche de Sibérie"
41845|"Loutre Géante"
40926|"Renard Volant De Ponape"
40892|"Grande Roussette Des Mascareignes"
40892|"Roussette Noire"
40891|"Roussette Rousse"
40874|"Roussette de Madagascar"
40904|"Roussette des  Samoa"
40918|"Roussette de Tonga"
40915|"Roussette Des Cailloux"
42168|"Poudou Du Nord"
42168|"Pudu Du Nord"
42169|"Poudou du Sud"
42169|"Pudu du Sud"
42199|"Renne"
46032|"Ratufe Dorée"
40673|"Rhinolophe de Blasius"
40677|"Rhinolophe euryale"
40645|"Grand rhinolophe fer"
40695|"Petit rhinolophe"
40691|"Rhinolophe de Méhely"
43155|"Lapin De Diaz"
43155|"Lapin Des Volcans"
75046|"Barasinga"
75046|"Cerf de Duvaucel"
75047|"Cerf D'Eld"
42346|"Isard"
43385|"Pinché aux pieds blancs"
43391|"Tamarin D'Oedipe"
43391|"Tamarin Pinch"
42378|"Saïga"
43428|"Singe écureuil"
43888|"Gerboise Pygm"
40232|"Diable de Tasmanie"
75065|"Galago D'Allen"
43872|"Siciste Des Bouleaux"
43864|"Siciste Des Steppes"
40216|"Souris Marsupiale D"
40215|"Souris Marsupiale De Butler"
40205|"Souris Marsupiale"
40208|"Souris Marsupiale De Buningonia"
40203|"Souris Marsupiale De Julia Creek"
